pre,pre_x,pre_y,pre_z,post_x,post_y,post_z,type,mappedSection,mappedSegRangeVar
720575940611134833,420.116,241.724,145.96,420.012,241.764,145.92,LC4,dend[1734],0.8078937400546433
720575940617176321,404.2,246.352,154.92,404.256,246.216,154.88,LC4,dend[1935],0.07464007352899861
720575940616713355,414.284,236.02,155.16,414.136,235.984,155.16,LC4,dend[1611],1.0
720575940612518055,429.192,233.42,150.92,429.168,233.328,150.92,LC4,dend[1562],0.4134937993766111
720575940622539800,420.28,247.412,140.2,420.26,247.288,140.2,LC4,dend[1442],0.7277321273444186
720575940630017810,406.176,241.016,158.24,406.228,241.136,158.16,LC4,dend[1999],0.946750163385764
720575940628122883,428.244,234.792,151.76,428.2,234.72,151.76,LC4,dend[1563],0.7374374230510811
720575940640612480,408.86,243.86,154.84,408.716,243.748,154.88,LC4,dend[1947],0.6522892424833069
720575940613022175,415.776,240.072,156.08,415.692,240.144,156.04,LC4,dend[1593],0.10080507106861503
720575940613256863,420.02,234.228,156.2,420.172,234.24,156.2,LC4,dend[1713],0.2888633495057176
720575940612518055,428.336,234.212,151.0,428.26,234.184,150.96,LC4,dend[1553],0.8711533330436059
720575940605598892,404.92,241.648,163.4,404.936,241.752,163.4,LC4,dend[1976],0.4145328910244861
720575940613260959,436.12,238.104,145.6,436.136,238.192,145.6,LC4,dend[1786],0.012897454835292557
720575940622539800,433.992,231.752,152.36,433.944,231.66,152.4,LC4,dend[1524],0.4592133193501513
720575940618371520,426.068,240.584,153.52,426.104,240.708,153.52,LC4,dend[1659],0.9514694071014729
720575940618676440,427.552,244.336,144.76,427.488,244.224,144.76,LC4,dend[1746],0.4126998778195285
720575940618676440,425.728,241.504,153.6,425.684,241.636,153.56,LC4,dend[1659],0.6973792205913439
720575940626626895,413.848,243.568,159.16,413.868,243.712,159.12,LC4,dend[1627],0.7009831590455488
720575940615127227,434.356,233.592,152.04,434.408,233.684,152.04,LC4,dend[1512],0.8710612046811788
720575940617026260,435.664,238.988,145.36,435.688,239.148,145.32,LC4,dend[1807],0.6917136850617648
720575940615575007,420.144,235.148,155.68,420.232,235.232,155.68,LC4,dend[1711],0.7442615420092353
720575940618723749,424.908,242.096,147.12,424.864,242.012,147.16,LC4,dend[1582],1.0
720575940615053580,413.468,245.368,153.16,413.38,245.376,153.16,LC4,dend[2029],0.9642633554028429
720575940611134833,432.26,236.488,151.88,432.244,236.376,151.84,LC4,dend[1507],0.595794967681647
720575940618113300,421.28,243.584,147.6,421.176,243.552,147.6,LC4,dend[1649],1.0
720575940625934973,428.48,238.24,146.24,428.404,238.12,146.24,LC4,dend[1484],0.5298425884598691
720575940633580384,406.128,244.48,157.24,406.272,244.484,157.2,LC4,dend[1950],0.9661581648929836
720575940615575007,433.932,240.152,143.68,434.02,240.224,143.72,LC4,dend[1838],0.7549548221614696
720575940626626895,419.98,232.836,156.32,419.944,232.928,156.28,LC4,dend[1713],1.0
720575940634517856,413.152,237.76,159.92,413.164,237.872,159.92,LC4,dend[1602],1.0
720575940615127227,415.44,241.36,152.96,415.404,241.272,152.92,LC4,dend[1634],0.8426180930277545
720575940622539800,421.716,240.312,154.24,421.688,240.416,154.24,LC4,dend[1683],1.0
720575940618371520,416.912,241.024,151.24,416.78,241.088,151.2,LC4,dend[1635],1.0
720575940618676440,411.368,245.844,150.32,411.468,245.756,150.36,LC4,dend[2045],1.0
720575940615053580,414.048,243.704,156.08,414.164,243.672,156.12,LC4,dend[1624],0.9298490045897004
720575940615053580,422.06,246.388,138.6,422.072,246.36,138.68,LC4,dend[1906],0.46092770261517385
720575940612518055,429.168,233.424,150.84,429.168,233.312,150.84,LC4,dend[1562],0.46535263061856225
720575940616713355,413.42,239.556,158.28,413.524,239.6,158.32,LC4,dend[1594],1.0
720575940618723749,416.948,243.604,151.72,416.98,243.472,151.68,LC4,dend[1588],0.6686702803554004
720575940628122883,411.592,234.632,157.96,411.612,234.564,157.96,LC4,dend[1618],1.0
720575940612518055,428.348,234.248,151.04,428.264,234.28,151.0,LC4,dend[1553],0.8450523855331792
,,,,,,,,dend_11[0],
720575940610522009,419.712,242.388,157.04,419.652,242.572,157.04,LC4,dend[1679],0.6971156375679793
