pre,pre_x,pre_y,pre_z,post_x,post_y,post_z,type,Unnamed: 9,248.972,mappedSection,mappedSegRangeVar
720575940615127227,394.568,246.808,163.92,394.752,246.812,164.0,LC4,,,dend[1289],1.0
720575940615575007,400.816,246.688,163.0,400.748,246.56,163.04,LC4,,,dend[901],0.7469231826914112
720575940617026260,426.92,235.824,152.24,426.924,235.988,152.24,LC4,,,dend[257],0.6342303238906695
720575940625038090,401.9,239.488,164.84,401.86,239.412,164.76,LC4,,,dend[962],0.9779180323235467
720575940618312606,426.072,235.096,146.76,426.08,235.016,146.76,LC4,,,dend[821],0.17174758459160505
720575940630826552,406.488,240.992,163.0,406.456,241.112,163.0,LC4,,,dend[461],0.35161040600997484
720575940625991043,426.736,230.016,156.64,426.608,230.104,156.6,LC4,,,dend[161],0.39413477314041817
720575940618807105,415.164,236.104,149.76,414.992,236.124,149.8,LC4,,,dend[627],0.7240340367066894
720575940625038090,429.06,240.728,139.92,429.0,240.824,139.88,LC4,,,dend[1602],0.9717531037593963
720575940611134833,427.632,236.552,154.68,427.704,236.428,154.68,LC4,,,dend[293],0.6987846339135175
720575940614572742,401.048,240.272,165.4,400.992,240.156,165.48,LC4,,,dend[956],0.21005284886347128
720575940617266722,413.224,242.32,157.04,413.152,242.14,157.04,LC4,,,dend[709],1.0
720575940615127227,418.684,232.188,156.36,418.632,232.284,156.36,LC4,,,dend[542],1.0
720575940615575007,394.52,247.816,166.8,394.432,247.716,166.84,LC4,,,dend[1246],0.7718717848265473
720575940615575007,412.26,239.168,154.04,412.304,239.072,154.08,LC4,,,dend[704],0.8516389508970972
720575940628454522,422.064,233.52,150.96,422.012,233.612,150.96,LC4,,,dend[242],0.9759313008878178
720575940622539800,416.376,234.36,149.6,416.404,234.252,149.6,LC4,,,dend[114],0.8540385192683035
720575940618807105,425.86,232.336,157.24,425.864,232.488,157.24,LC4,,,dend[145],0.5639847636320064
720575940613256863,409.9,243.208,158.32,409.784,243.1,158.32,LC4,,,dend[1411],1.0
720575940615127227,420.18,233.272,153.84,420.092,233.252,153.88,LC4,,,dend[121],0.18214804271740975
720575940634517856,405.596,238.196,164.36,405.484,238.176,164.32,LC4,,,dend[466],0.6827305741234245
720575940620903551,410.864,237.796,163.32,410.764,237.684,163.32,LC4,,,dend[440],1.0
720575940614914107,422.86,232.704,155.16,422.776,232.784,155.12,LC4,,,dend[183],0.3419628146245874
720575940613022175,400.808,241.084,162.68,400.656,240.984,162.68,LC4,,,dend[943],0.47672632913563184
720575940629753807,410.188,244.48,153.8,410.208,244.384,153.84,LC4,,,dend[1386],0.3799929637966538
720575940617266722,426.616,236.128,152.04,426.576,236.04,152.04,LC4,,,dend[255],0.8710089214648649
720575940620903551,392.04,237.788,170.8,392.176,237.856,170.76,LC4,,,dend[1203],0.15802066065445575
720575940615127227,435.472,233.164,138.36,435.36,233.144,138.28,LC4,,,dend[17],0.262186060263583
720575940626626895,427.152,239.74,148.76,427.26,239.776,148.76,LC4,,,dend[326],0.5545346955883017
720575940626626895,422.74,243.176,152.2,422.604,243.16,152.24,LC4,,,dend[222],0.7277442977801301
720575940619397542,396.612,246.152,165.16,396.632,246.264,165.16,LC4,,,dend[1076],0.16250809267540717
720575940628454522,404.464,240.368,165.68,404.356,240.272,165.68,LC4,,,dend[468],0.962991361236255
720575940618312606,407.848,243.768,153.96,407.76,243.784,153.92,LC4,,,dend[1449],0.4804632237366654
720575940631338271,427.312,241.188,150.36,427.392,241.124,150.36,LC4,,,dend[318],0.8118685747237743
720575940626626895,422.748,245.108,148.32,422.848,244.992,148.32,LC4,,,dend[1471],0.03178559293377428
720575940622531767,421.416,243.872,148.44,421.416,243.956,148.44,LC4,,,dend[1473],0.982481171717149
720575940659060865,413.872,245.38,156.28,413.72,245.408,156.24,LC4,,,dend[1436],0.7329834197311259
720575940611134833,426.296,232.612,155.52,426.416,232.652,155.52,LC4,,,dend[179],0.6761521219546338
720575940614572742,417.4,230.816,156.16,417.348,230.896,156.2,LC4,,,dend[614],1.0
720575940628122883,433.012,232.612,138.84,433.104,232.672,138.84,LC4,,,dend[47],0.908462499395078
720575940620903551,427.508,233.296,156.4,427.48,233.176,156.44,LC4,,,dend[170],0.31921854210125994
720575940628122883,422.0,245.176,145.6,422.06,245.124,145.64,LC4,,,dend[1465],0.5213014288657042
720575940614914107,413.496,230.752,155.24,413.532,230.824,155.2,LC4,,,dend[377],0.6948129149466901
720575940640612480,413.472,230.336,155.56,413.348,230.332,155.56,LC4,,,dend[378],0.1364771144886751
720575940613260959,401.676,247.544,157.12,401.628,247.428,157.12,LC4,,,dend[870],0.6887777440158381
720575940649229433,414.708,234.048,161.88,414.824,234.128,161.88,LC4,,,dend[575],0.21241419872289147
720575940634517856,416.0,232.72,153.2,415.94,232.604,153.16,LC4,,,dend[619],0.7453498630312467
720575940617026260,434.552,233.676,151.04,434.68,233.7,151.04,LC4,,,dend[83],0.5183937500751243
720575940622539800,434.512,233.624,151.2,434.624,233.648,151.16,LC4,,,dend[83],0.5620727100542406
720575940638456227,394.0,244.568,166.08,394.072,244.668,166.08,LC4,,,dend[1239],0.8116079083005984
720575940618371520,403.78,239.504,166.72,403.7,239.4,166.72,LC4,,,dend[973],0.9975337628017461
720575940617026260,401.152,242.06,166.4,401.112,241.976,166.36,LC4,,,dend[959],0.9716327542950712
720575940638496720,409.696,246.32,153.2,409.824,246.372,153.16,LC4,,,dend[1389],1.0
720575940610522009,427.408,242.4,150.64,427.328,242.432,150.64,LC4,,,dend[324],0.4158715008802108
720575940618312606,409.46,245.02,150.72,409.548,244.896,150.72,LC4,,,dend[1381],0.7820094875620556
720575940618312606,416.432,238.652,158.8,416.516,238.764,158.76,LC4,,,dend[600],0.42185965075651066
720575940611134833,415.164,234.768,157.96,415.292,234.808,158.0,LC4,,,dend[562],0.7408519408731402
720575940649229433,395.436,244.232,163.08,395.352,244.076,163.08,LC4,,,dend[1067],1.0
720575940617266722,392.8,242.336,164.88,392.72,242.392,164.88,LC4,,,dend[1235],1.0
720575940617176321,398.728,242.836,167.56,398.824,242.816,167.52,LC4,,,dend[978],0.7998477286369681
720575940634517856,406.892,237.648,163.0,406.856,237.584,162.96,LC4,,,dend[455],0.49268121562377337
720575940611134833,431.056,235.216,154.52,431.052,235.076,154.48,LC4,,,dend[271],0.4487133087967079
720575940618312606,409.492,244.98,150.76,409.584,244.868,150.8,LC4,,,dend[1381],0.8331054403458529
720575940618723749,412.936,242.056,155.72,413.04,241.984,155.72,LC4,,,dend[709],0.3129286674218047
720575940622539800,422.132,238.184,155.52,422.04,238.032,155.52,LC4,,,dend[128],0.9853837351861247
720575940625934973,429.84,230.52,155.04,429.888,230.64,155.08,LC4,,,dend[172],0.9477312608131329
720575940625038090,394.92,242.496,162.76,394.86,242.392,162.72,LC4,,,dend[1080],0.9588295722112267
