pre,pre_x,pre_y,pre_z,post_x,post_y,post_z,type,448.232,247.42,175.8,mappedSection,mappedSegRangeVar
720575940622939836,419.54,240.496,146.04,419.444,240.42,146.04,LC4,,,,dend[1762],0.5681322840791536
720575940630826552,415.764,247.14,150.96,415.872,247.144,150.96,LC4,,,,dend[2692],0.9893105118983871
720575940618807105,420.556,238.704,146.64,420.56,238.612,146.64,LC4,,,,dend[1757],0.20861066567704348
720575940614572742,433.652,231.952,136.84,433.684,231.944,136.8,LC4,,,,dend[658],0.6284552733325678
720575940622539800,415.828,246.272,151.92,415.74,246.376,151.92,LC4,,,,dend[2693],0.3219196534637271
720575940625934973,417.7,244.256,152.12,417.688,244.432,152.12,LC4,,,,dend[2679],0.9988185143958864
720575940630826552,415.708,247.328,150.92,415.76,247.42,150.96,LC4,,,,dend[2694],0.20025910914198125
720575940626626895,433.532,231.804,150.72,433.512,231.716,150.76,LC4,,,,dend[740],0.36091880937632115
720575940619315696,419.948,238.596,146.76,420.008,238.528,146.76,LC4,,,,dend[1757],0.10611165898473222
720575940630998339,420.504,245.244,152.2,420.468,245.344,152.2,LC4,,,,dend[2690],0.9049736975321457
720575940618113300,433.508,229.86,140.28,433.4,229.832,140.28,LC4,,,,dend[728],0.44837570569335483
720575940625991043,431.16,237.776,136.32,431.192,237.648,136.32,LC4,,,,dend[2936],0.8268482424347543
720575940618371520,431.972,236.212,135.6,432.068,236.224,135.6,LC4,,,,dend[2935],0.808266259012775
720575940626626895,433.58,231.608,150.6,433.62,231.496,150.6,LC4,,,,dend[740],0.22497237053089642
720575940617266722,412.36,234.28,152.96,412.404,234.208,152.92,LC4,,,,dend[1521],1.0
720575940616713355,416.168,246.732,151.28,416.052,246.768,151.24,LC4,,,,dend[2693],0.04799695288984967
720575940612518055,436.288,232.32,137.76,436.216,232.408,137.76,LC4,,,,dend[670],0.7141856774607781
720575940630484495,436.436,232.54,145.96,436.332,232.492,145.96,LC4,,,,dend[745],0.8214787991302599
720575940615053580,433.908,230.008,142.64,433.992,229.932,142.68,LC4,,,,dend[729],0.7387625909925879
720575940640612480,426.232,243.644,148.84,426.356,243.592,148.84,LC4,,,,dend[2686],0.5205663582915154
720575940613256863,414.88,231.084,158.36,414.832,230.968,158.36,LC4,,,,dend[1204],1.0
720575940615053580,433.648,229.808,142.36,433.728,229.728,142.36,LC4,,,,dend[729],0.5908020829822138
720575940630998339,420.824,245.508,151.48,420.728,245.608,151.52,LC4,,,,dend[2691],0.19498996168578497
720575940613256863,430.736,237.144,136.08,430.544,237.088,136.04,LC4,,,,dend[2937],0.19555514693718837
720575940617266722,422.356,244.552,152.12,422.288,244.544,152.12,LC4,,,,dend[2688],0.9784229237618277
720575940617176321,418.828,245.94,149.92,418.892,245.996,149.92,LC4,,,,dend[2669],0.4301080659784347
720575940615053580,433.812,229.944,142.6,433.88,229.868,142.56,LC4,,,,dend[729],0.6813143927505895
720575940625934973,434.628,231.016,146.56,434.632,230.916,146.56,LC4,,,,dend[744],0.21283220752052012
720575940622939836,417.236,244.428,152.88,417.3,244.436,152.88,LC4,,,,dend[2681],1.0
720575940617026260,420.464,247.004,149.4,420.392,246.924,149.36,LC4,,,,dend[2671],0.7776093848123075
720575940625991043,421.824,235.536,147.28,421.852,235.396,147.24,LC4,,,,dend[1746],0.9548899353545577
720575940615127227,424.376,237.996,148.84,424.356,237.904,148.84,LC4,,,,dend[1761],0.5188653847146296
720575940613256863,430.524,236.976,136.36,430.408,236.956,136.36,LC4,,,,dend[2937],0.6415927429781796
720575940617026260,412.904,232.1,151.64,412.86,231.944,151.6,LC4,,,,dend[1523],0.2096165995428769
720575940622539800,433.28,231.88,143.4,433.36,231.976,143.4,LC4,,,,dend[790],0.9901796342505209
,,,,,,,,,,,dend_11[14],
720575940629753807,432.468,232.28,150.64,432.584,232.272,150.64,LC4,,,,dend[740],0.9867313752403466
720575940619700229,419.936,240.64,146.04,420.06,240.668,146.0,LC4,,,,dend[1762],0.8285571700051402
720575940629753807,432.52,232.348,150.72,432.616,232.328,150.72,LC4,,,,dend[740],0.9953561951876979
720575940628122883,422.936,246.22,142.16,422.892,246.3,142.12,LC4,,,,dend[2968],0.9312555116611797
720575940622939836,417.288,244.432,152.8,417.392,244.456,152.8,LC4,,,,dend[2681],0.901925762220226
,,,,,,,,,,,dend_11[14],
720575940619397542,415.752,246.388,152.2,415.612,246.424,152.16,LC4,,,,dend[2693],0.38317558084226394
720575940618807105,420.568,238.72,146.72,420.576,238.616,146.72,LC4,,,,dend[1757],0.22047107918372003
720575940649229433,426.1,244.648,138.28,426.2,244.7,138.28,LC4,,,,dend[2957],0.8511218006798104
720575940617026260,412.892,232.104,151.68,412.852,231.976,151.64,LC4,,,,dend[1523],0.23556371741713758
720575940617026260,420.072,247.18,150.0,420.036,247.236,150.0,LC4,,,,dend[2671],0.22682542976307093
720575940628122883,421.252,245.264,150.92,421.16,245.24,150.88,LC4,,,,dend[2691],0.542673110635707
720575940628064260,424.488,237.764,148.84,424.392,237.764,148.84,LC4,,,,dend[1761],0.5467002413712643
720575940613022175,414.672,246.0,152.96,414.588,245.952,152.92,LC4,,,,dend[2693],0.8019227208479266
720575940614914107,423.856,239.332,147.92,423.752,239.328,147.92,LC4,,,,dend[1758],0.7312838109869473
720575940614572742,413.672,239.944,143.4,413.728,239.832,143.4,LC4,,,,dend[2700],0.7999804727529559
720575940613260959,433.156,236.536,153.56,433.152,236.708,153.52,LC4,,,,dend[785],0.5857783357276956
720575940618723749,434.58,231.056,146.6,434.552,230.964,146.6,LC4,,,,dend[744],0.23478460446679472
720575940630017810,426.244,245.06,138.56,426.1,245.052,138.56,LC4,,,,dend[2958],0.5352080021667415
720575940619397542,435.184,232.236,137.04,435.048,232.176,137.04,LC4,,,,dend[666],0.5982931231115981
720575940616713355,414.924,246.292,152.52,415.02,246.252,152.56,LC4,,,,dend[2693],0.5961951475076419
720575940625934973,417.7,244.268,152.16,417.676,244.44,152.16,LC4,,,,dend[2679],1.0
720575940613260959,432.992,236.52,153.56,432.856,236.652,153.6,LC4,,,,dend[785],0.7176708191014576
720575940614572742,422.432,238.472,146.92,422.328,238.424,146.96,LC4,,,,dend[1757],0.5978432803936424
720575940613256863,422.908,238.352,147.44,422.868,238.456,147.44,LC4,,,,dend[1757],0.7598932012106637
720575940615127227,424.6,237.752,148.0,424.544,237.628,148.0,LC4,,,,dend[1760],0.614247942567732
720575940613256863,430.56,236.984,136.36,430.428,237.008,136.36,LC4,,,,dend[2937],0.5576581625166012
720575940614572742,422.572,238.716,147.32,422.628,238.616,147.32,LC4,,,,dend[1757],0.702968780013931
720575940615053580,433.0,229.552,141.32,432.936,229.44,141.36,LC4,,,,dend[729],0.15913304783782423
720575940615127227,424.62,237.772,148.12,424.556,237.712,148.2,LC4,,,,dend[1759],1.0
720575940628454522,429.152,238.508,136.2,429.076,238.604,136.2,LC4,,,,dend[2931],1.0
720575940649229433,430.004,237.544,135.32,430.044,237.64,135.36,LC4,,,,dend[2932],0.6995887176649416
720575940617266722,436.092,233.244,136.84,436.176,233.12,136.84,LC4,,,,dend[669],0.8674581174232128
720575940615127227,424.352,238.1,148.36,424.244,238.056,148.36,LC4,,,,dend[1759],0.7109577507467034
720575940619397542,415.808,246.364,152.2,415.736,246.424,152.12,LC4,,,,dend[2693],0.35526339039261495
720575940649229433,426.1,244.692,138.24,426.16,244.768,138.24,LC4,,,,dend[2957],0.6864517404646185
720575940615053580,433.652,229.816,142.44,433.732,229.74,142.44,LC4,,,,dend[729],0.6117758447952847
720575940619700229,430.112,238.52,135.44,430.02,238.428,135.44,LC4,,,,dend[2932],0.45422766884578686
720575940616713355,414.948,246.3,152.52,415.076,246.28,152.52,LC4,,,,dend[2693],0.5731787846701573
720575940629753807,432.54,232.392,150.72,432.664,232.444,150.76,LC4,,,,dend[740],1.0
720575940615053580,433.904,230.008,142.68,433.992,229.96,142.64,LC4,,,,dend[729],0.7310017138576376
720575940625934973,417.688,244.264,152.2,417.648,244.452,152.2,LC4,,,,dend[2681],0.19830885141247703
720575940628122883,422.912,246.208,142.16,422.944,246.304,142.16,LC4,,,,dend[2968],0.9530101562473163
720575940649229433,426.052,244.728,138.24,426.08,244.816,138.24,LC4,,,,dend[2957],0.4950215559062022
720575940630998339,420.88,245.448,151.4,420.804,245.54,151.4,LC4,,,,dend[2691],0.2590378001386774
720575940630998339,420.84,245.476,151.44,420.768,245.568,151.44,LC4,,,,dend[2691],0.23466280517791777
720575940620903551,435.416,230.824,145.0,435.552,230.804,144.96,LC4,,,,dend[733],0.12740509676452058
720575940626626895,433.54,231.728,150.68,433.564,231.604,150.68,LC4,,,,dend[740],0.293154259047387
720575940614572742,410.464,240.608,143.24,410.34,240.544,143.28,LC4,,,,dend[1777],0.613020069643818
720575940614572742,433.692,231.896,136.84,433.844,231.896,136.84,LC4,,,,dend[658],0.3633149631534035
720575940618371520,438.18,235.704,147.44,438.188,235.592,147.44,LC4,,,,dend[747],1.0
720575940630998339,420.884,245.448,151.36,420.792,245.52,151.36,LC4,,,,dend[2691],0.27273629843528957
720575940613260959,433.08,236.564,153.6,433.104,236.736,153.64,LC4,,,,dend[785],0.5919110173199739
720575940631338271,433.204,231.804,150.88,433.34,231.8,150.84,LC4,,,,dend[740],0.4743074897376306
720575940613256863,430.58,236.988,136.32,430.468,237.016,136.28,LC4,,,,dend[2937],0.478558960280697
720575940629753807,432.504,232.276,150.8,432.628,232.232,150.76,LC4,,,,dend[740],0.9569068332554559
720575940614572742,410.612,240.488,143.16,410.568,240.376,143.2,LC4,,,,dend[1777],0.6690068751571525
720575940617176321,418.76,245.948,149.88,418.768,246.052,149.88,LC4,,,,dend[2669],0.3351940101278817
720575940626626895,433.66,231.596,150.56,433.704,231.48,150.56,LC4,,,,dend[740],0.17856182513251853
720575940617026260,412.904,232.136,151.76,412.92,232.016,151.76,LC4,,,,dend[1523],0.3141446243127284
720575940622539800,415.84,246.288,151.84,415.808,246.368,151.8,LC4,,,,dend[2693],0.2873843486892997
720575940616713355,416.14,246.736,151.32,416.024,246.744,151.32,LC4,,,,dend[2693],0.07432487288973254
720575940615053580,433.048,229.576,141.2,433.0,229.444,141.2,LC4,,,,dend[729],0.1346184648472627
720575940617026260,420.376,247.012,149.48,420.276,247.028,149.44,LC4,,,,dend[2671],0.6609805802226757
720575940617176321,435.94,232.848,137.32,435.844,232.756,137.36,LC4,,,,dend[668],0.8901973337216473
720575940624461319,432.18,199.036,139.32,432.18,199.116,139.32,LC6,,,,dend[391],0.8944468494923901
720575940626669114,429.996,200.228,138.2,430.016,200.328,138.2,LC6,,,,dend[394],1.0
720575940635020133,429.192,200.092,139.32,429.256,200.068,139.32,LC6,,,,dend[389],0.875723357302715
720575940626720072,429.104,200.064,139.2,429.264,200.04,139.24,LC6,,,,dend[390],1.0
720575940616613009,430.176,200.112,139.32,429.968,200.136,139.36,LC6,,,,dend[391],0.09822507544699037
720575940635020133,428.964,200.144,139.92,429.112,200.224,139.92,LC6,,,,dend[389],0.5576923067177341
720575940611580313,428.744,198.384,138.64,428.736,198.552,138.6,LC6,,,,dend[393],0.7579420146619187
720575940629289721,428.664,200.792,142.0,428.588,200.864,142.0,LC6,,,,dend[384],0.5764117132328034
720575940635020133,429.104,200.032,139.56,429.228,200.032,139.56,LC6,,,,dend[389],0.7746668398352407
720575940618650584,430.228,201.4,138.64,430.272,201.264,138.68,LC6,,,,dend[395],0.8566188468498092
720575940637066047,429.58,199.752,139.72,429.7,199.744,139.68,LC6,,,,dend[391],0.061795352946520984
720575940629289721,428.416,201.048,142.6,428.428,200.96,142.6,LC6,,,,dend[380],0.9792855933034617
720575940629013292,429.732,200.24,139.68,429.728,200.14,139.68,LC6,,,,dend[391],0.029658875924055438
720575940624461319,432.072,199.0,139.4,432.108,199.14,139.4,LC6,,,,dend[391],0.871177472963391
720575940616613009,430.236,200.076,139.32,430.072,200.076,139.36,LC6,,,,dend[391],0.13694467735024182
720575940612142051,428.256,201.008,142.16,428.368,200.92,142.2,LC6,,,,dend[384],0.5025076669125417
720575940635020133,429.856,200.424,138.76,429.776,200.328,138.76,LC6,,,,dend[394],0.38701824342223545
720575940626669114,428.864,199.684,138.76,428.904,199.584,138.76,LC6,,,,dend[393],0.28792787398944414
720575940637066047,428.428,200.688,141.0,428.424,200.792,140.96,LC6,,,,dend[387],0.4958880790155857
720575940616613009,430.768,199.82,139.2,430.848,199.744,139.24,LC6,,,,dend[391],0.4113174390091428
720575940635020133,429.064,200.064,139.64,429.184,200.064,139.68,LC6,,,,dend[389],0.705842690036411
720575940622462685,428.7,200.984,140.92,428.608,200.936,140.88,LC6,,,,dend[387],0.7442111734388979
720575940635020133,429.096,200.048,139.4,429.228,200.02,139.36,LC6,,,,dend[389],0.8580102509420774
720575940638210894,428.648,198.772,138.4,428.712,198.668,138.48,LC6,,,,dend[393],0.7023218836048378
720575940629289721,428.664,200.752,142.16,428.592,200.84,142.16,LC6,,,,dend[384],0.43403917951106197
720575940626720072,428.92,199.76,138.96,429.052,199.712,139.0,LC6,,,,dend[393],0.22141003096565948
720575940626669114,429.94,200.992,139.36,429.816,200.952,139.4,LC6,,,,dend[395],0.2888861667852681
720575940612142051,428.136,201.056,142.84,428.268,201.076,142.84,LC6,,,,dend[380],0.9267090933001139
720575940629289721,428.84,200.996,141.76,428.752,201.064,141.76,LC6,,,,dend[385],0.5510767312215189
720575940635020133,430.144,201.044,138.8,430.176,201.152,138.8,LC6,,,,dend[395],0.7263785527112903
720575940626720072,429.14,200.04,139.2,429.24,199.952,139.2,LC6,,,,dend[390],1.0
720575940637604678,428.94,200.696,141.44,428.892,200.808,141.4,LC6,,,,dend[385],0.9954132815874828
720575940618544976,427.352,200.36,141.56,427.412,200.472,141.56,LC6,,,,dend[396],0.8798957256420797
720575940635020133,429.928,201.016,139.0,430.012,201.116,139.0,LC6,,,,dend[395],0.5796840760481858
720575940612142051,428.56,201.716,140.68,428.608,201.548,140.6,LC6,,,,dend[388],1.0
720575940618650584,430.4,201.388,138.52,430.42,201.304,138.52,LC6,,,,dend[395],0.9852183582282509
720575940635020133,429.136,200.024,139.24,429.208,199.956,139.24,LC6,,,,dend[390],1.0
720575940626720072,428.9,199.76,138.92,429.036,199.712,138.96,LC6,,,,dend[393],0.22137130203370334
720575940637604678,428.464,200.656,141.12,428.436,200.796,141.12,LC6,,,,dend[387],0.3427268811847689
720575940625048638,428.848,198.3,139.16,428.752,198.344,139.12,LC6,,,,dend[393],0.8901040955347127
720575940637604678,427.884,200.448,141.52,427.796,200.508,141.52,LC6,,,,dend[396],0.49691910654155347
720575940626669114,429.98,200.228,138.28,429.968,200.3,138.36,LC6,,,,dend[394],0.8264034891403067
720575940635020133,429.936,200.492,138.92,429.88,200.416,138.96,LC6,,,,dend[394],0.3392804602805591
720575940629289721,428.936,200.956,142.52,428.848,200.844,142.52,LC6,,,,dend[380],1.0
720575940637066047,428.448,200.636,141.04,428.424,200.756,141.04,LC6,,,,dend[387],0.40437454456778515
720575940629013292,431.208,199.568,139.64,431.184,199.44,139.64,LC6,,,,dend[391],0.5564135323413486
720575940612142051,428.156,201.0,142.04,428.212,200.92,141.96,LC6,,,,dend[384],0.7859943354724305
720575940638210894,428.568,199.28,138.24,428.708,199.344,138.24,LC6,,,,dend[393],0.3889601186615178
720575940624461319,432.096,199.008,139.36,432.1,199.152,139.36,LC6,,,,dend[391],0.8665737732251363
720575940625396226,429.88,199.728,140.0,429.948,199.808,139.92,LC6,,,,dend[391],0.1379191417879172
720575940626720072,429.176,200.032,139.16,429.256,199.936,139.12,LC6,,,,dend[390],1.0
720575940618544976,427.26,200.4,141.6,427.268,200.472,141.6,LC6,,,,dend[396],1.0
720575940635631211,428.324,211.808,157.28,428.212,211.704,157.28,LPLC1,,,,dend[344],0.7373902329962128
720575940632086573,402.052,229.652,168.4,402.008,229.532,168.4,LPLC1,,,,dend[1256],1.0
720575940619720129,412.444,222.644,164.24,412.404,222.748,164.24,LPLC1,,,,dend[1301],0.5085742439394226
720575940628716294,441.376,210.236,154.96,441.452,210.312,154.96,LPLC1,,,,dend[273],0.8252299531351341
720575940613304803,405.036,226.28,168.08,405.06,226.392,168.08,LPLC1,,,,dend[1223],0.17895278604210457
720575940629661381,410.8,225.14,161.8,410.94,225.12,161.76,LPLC1,,,,dend[1326],0.3992781265458724
720575940605598594,436.168,215.692,157.6,436.116,215.824,157.6,LPLC1,,,,dend[296],0.7871740094396171
720575940613228241,394.484,222.616,161.56,394.46,222.504,161.56,LPLC1,,,,dend[1451],1.0
720575940645134359,418.084,229.136,160.04,417.984,229.036,160.04,LPLC1,,,,dend[1199],1.0
720575940630420281,417.052,227.848,161.08,416.96,227.82,161.0,LPLC1,,,,dend[1196],0.48625493534252445
720575940625369884,407.352,230.656,168.16,407.432,230.756,168.12,LPLC1,,,,dend[1273],0.8554244804111962
720575940622932297,442.204,210.684,153.8,442.272,210.704,153.8,LPLC1,,,,dend[252],0.9190087896150481
720575940619506415,408.044,231.44,165.76,408.084,231.544,165.76,LPLC1,,,,dend[1263],0.3515298035726872
720575940613672931,433.392,216.944,160.08,433.488,216.936,160.0,LPLC1,,,,dend[304],0.3952871721836334
720575940639172816,402.356,229.048,167.36,402.44,229.172,167.36,LPLC1,,,,dend[1256],0.5866547728001331
720575940629079145,416.476,228.012,162.36,416.516,228.092,162.36,LPLC1,,,,dend[1191],0.7826831907285882
720575940634361336,408.384,228.116,163.4,408.304,228.06,163.36,LPLC1,,,,dend[1243],0.37443983088415694
720575940638787133,408.08,226.876,162.88,407.968,226.912,162.84,LPLC1,,,,dend[1213],0.5415075187039833
720575940638787133,409.252,226.848,162.08,409.264,226.692,162.12,LPLC1,,,,dend[1284],0.48946650930961755
720575940627806992,400.656,226.18,170.04,400.696,226.336,170.12,LPLC1,,,,dend[1218],0.9343594892254781
720575940615934150,428.304,212.588,156.92,428.268,212.676,156.92,LPLC1,,,,dend[344],0.09437696808435947
720575940622932297,431.608,213.576,156.36,431.62,213.46,156.36,LPLC1,,,,dend[346],0.37903476185152896
720575940632086573,447.412,211.252,155.8,447.368,211.356,155.76,LPLC1,,,,dend[262],0.4795572598793262
720575940619506415,406.256,226.804,168.8,406.352,226.924,168.76,LPLC1,,,,dend[1222],0.5834341775129571
720575940615999547,438.144,212.396,154.28,438.152,212.316,154.28,LPLC1,,,,dend[281],0.24354629541428588
720575940628324802,406.196,225.072,164.68,406.184,224.964,164.64,LPLC1,,,,dend[1235],0.6913811405089065
720575940640792973,397.592,222.784,157.24,397.648,222.736,157.28,LPLC1,,,,dend[1425],0.8509107961760299
720575940622932297,444.776,212.188,154.92,444.784,212.064,154.92,LPLC1,,,,dend[256],0.6156594054905514
720575940628324802,423.752,225.212,161.4,423.668,225.292,161.4,LPLC1,,,,dend[1183],0.22512731371184233
